day,disciplin_id
7,alpine-skiing-downhill-men
8,alpine-skiing-downhill-women
9,alpine-skiing-team-combined-men
10,alpine-skiing-team-combined-women
16,alpine-skiing-slalom-men
18,alpine-skiing-slalom-women
11,alpine-skiing-superg-men
12,alpine-skiing-superg-women
14,alpine-skiing-giant-slalom-men
15,alpine-skiing-giant-slalom-women
11,biathlon-individual-women
14,biathlon-sprint-women
15,biathlon-pursuit-women
21,biathlon-mass-start-women
18,biathlon-relay-women
8,biathlon-relay-mixed
10,biathlon-individual-men
13,biathlon-sprint-men
15,biathlon-pursuit-men
20,biathlon-mass-start-men
17,biathlon-relay-men
16,bobsled-monobob-women
21,bobsled-2-women
17,bobsled-2-men
22,bobsled-4-men
7,crosscountry-skiing-skiathlon-women
12,crosscountry-skiing-10km-free-women
22,crosscountry-skiing-50km-classic-women
14,crosscountry-skiing-relay-women
10,crosscountry-skiing-sprint-classic-women
18,crosscountry-skiing-team-sprint-women
10,crosscountry-skiing-sprint-classic-men
18,crosscountry-skiing-team-sprint-men
8,crosscountry-skiing-skiathlon-men
13,crosscountry-skiing-10km-free-men
15,crosscountry-skiing-relay-men
21,crosscountry-skiing-50km-classic-men
10,curling-mixed-doubles
21,curling-team-men
22,curling-team-women
11,figure-skating-ice-dance
16,figure-skating-pair
19,figure-skarting-single-women
13,figure-skarting-single-men
9,freeski-slopestyle-women
16,freeski-bigair-women
21,freeski-halfpipe-women
10,freeski-slopestyle-men
17,freeski-bigair-men
20,freeski-halfpipe-men
11,moguls-women
14,dual-moguls-women
12,moguls-men
15,dual-moguls-men
21,aerials-mixed-teams
18,aerials-women
19,aerials-men
20,skicross-women
21,skicross-men
19,ice-hockey-women
22,ice-hockey-men
10,luge-singles-women
11,luge-doubles-women
8,luge-singles-men
11,luge-doubles-men
12,luge-team-relay
11,nordic-combined-normal-hill
17,nordic-combined-large-hill
19,nordic-combined-team-sprint
12,short-track-500m-women
16,short-track-1000m-women
20,short-track-1500m-women
18,short-track-relay-women
18,short-track-500m-men
12,short-track-1000m-men
14,short-track-1500m-men
20,short-track-relay-men
10,short-track-mixed-team-relay
14,skeleton-women
13,skeleton-men
15,skeleton-mixed-team
7,ski-jumping-normal-hill-women
15,ski-jumping-large-hill-women
9,ski-jumping-normal-hill-men
14,ski-jumping-large-hill-men
10,ski-jumping-mixed-team
16,ski-jumping-men-team
19,ski-mountaineering-sprint-women
19,ski-mountaineering-sprint-men
21,ski-mountaineering-mixed-relay
15,snowboard-cross-mixed-team
12,snowboard-cross-men
13,snowboard-cross-women
17,snowboarding-slopestyle-women
9,snowboarding-bigair-women
12,snowboarding-halfpipe-women
8,snowboarding-slalom-women
18,snowboarding-slopestyle-men
7,snowboarding-bigair-men
13,snowboarding-halfpipe-men
8,snowboarding-slalom-men
15,speedskating-500m-women
9,speedskating-1000m-women
20,speedskating-1500m-women
7,speedskating-3000m-women
12,speedskating-5000m-women
14,speedskating-500m-men
11,speedskating-1000m-men
19,speedskating-1500m-men
8,speedskating-5000m-men
13,speedskating-10000m-men
21,speedskating-mass-start-women
21,speedskating-mass-start-men
17,speedskating-team-pursuit-women
17,speedskating-team-pursuit-men